,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
593,1474,2012-02-08 08:06:00,2012-02-07 20:53:00,42,1.2 - 3.5 µm,217.168,1.3438,0.0594,0.1776,0.1318,1.153,1.9608,0.5904,2.4453,0.0738,0.0085,1.369,0.169,1.538,3195.04,511.117,10.866,9.648,109.244,6503.73,5.127,4.725,10.129,11.024,0.0015,0.031,73.818,16.29,156.481,36.485,14.971
594,1475,2012-02-08 08:06:00,2012-02-07 20:53:00,42,3.5 - 10 µm,127.221,1.5423,0.0356,0.1245,0.1302,0.984,2.4892,0.1727,1.9076,0.0471,0.0028,1.676,0.538,2.214,1961.29,287.116,4.883,5.728,45.814,2843.23,2.638,2.069,4.551,3.315,0.0015,0.0005,29.502,6.989,68.334,14.783,7.747
595,1476,2012-02-08 14:10:00,2012-02-08 08:53:00,42,0.05 - 0.14 µm,4.078,0.092,0.0094,0.025,0.0157,0.2551,0.1536,0.0471,0.1686,0.0015,0.0001,0.316,0.0,0.316,86.4,7.02,0.258,1.394,0.821,70.63,0.075,0.275,1.151,0.186,0.0015,0.0005,1.338,0.068,0.982,0.0018,0.003
596,1477,2012-02-08 14:10:00,2012-02-08 08:53:00,42,0.14 - 0.42 µm,9.221,0.046,0.0472,0.0159,0.0231,0.3392,0.0585,0.0696,0.3906,0.0044,0.0001,0.319,0.0,0.319,77.27,9.488,0.479,0.671,1.624,102.19,0.298,0.451,0.778,0.186,0.03,0.007,1.238,0.162,2.555,0.071,0.091
597,1478,2012-02-08 14:10:00,2012-02-08 08:53:00,42,0.42 - 1.2 µm,25.063,0.2266,0.0361,0.0587,0.0508,0.6244,0.293,0.1933,0.4926,0.0076,0.001,0.334,0.006,0.34,360.56,26.38,0.719,2.092,8.603,340.54,0.484,2.019,2.673,0.414,0.08,0.027,6.565,0.538,10.892,1.192,1.162
598,1479,2012-02-08 14:10:00,2012-02-08 08:53:00,42,1.2 - 3.5 µm,158.561,1.4126,0.1038,0.2189,0.2011,2.178,2.1553,0.8523,3.3963,0.058,0.0011,1.792,0.147,1.94,1673.37,233.484,4.169,5.633,42.981,2668.49,2.715,2.125,4.228,2.581,0.0015,0.0005,30.294,4.852,74.009,15.645,7.63
599,1480,2012-02-08 14:10:00,2012-02-08 08:53:00,42,3.5 - 10 µm,69.881,1.6295,0.0589,0.1361,0.2179,1.696,2.874,0.2328,2.2329,0.0264,0.0298,1.239,0.23,1.468,1341.85,118.544,2.468,4.173,23.695,1344.97,1.445,1.199,2.418,1.469,0.0015,0.0005,19.179,2.84,33.947,5.959,4.2
600,1481,2012-02-08 20:07:00,2012-02-08 15:04:00,42,0.05 - 0.14 µm,2.006,0.0451,0.0191,0.0101,0.0114,0.1857,0.088,0.0424,0.0757,0.0015,0.0009,0.22,0.0,0.22,37.94,4.574,0.197,0.642,0.403,39.14,0.199,0.333,0.639,0.174,0.0015,0.0005,0.691,0.036,0.079,0.0018,0.023
601,1482,2012-02-08 20:07:00,2012-02-08 15:04:00,42,0.14 - 0.42 µm,5.853,0.0443,0.0985,0.0149,0.0184,0.2854,0.0521,0.0583,0.6549,0.0071,0.0001,0.515,0.009,0.524,49.6,6.247,0.874,0.369,1.336,65.29,0.408,0.55,1.04,0.445,0.117,0.018,0.942,0.121,0.238,0.0018,0.068
602,1483,2012-02-08 20:07:00,2012-02-08 15:04:00,42,0.42 - 1.2 µm,20.359,0.3385,0.0194,0.0357,0.0613,0.511,0.5186,0.2221,0.6448,0.0073,0.001,0.292,0.0,0.292,327.84,64.575,1.066,3.258,9.312,534.92,0.454,0.693,1.82,0.654,0.36,0.055,6.811,0.882,10.465,1.595,1.968
603,1484,2012-02-08 20:07:00,2012-02-08 15:04:00,42,1.2 - 3.5 µm,96.543,2.3702,0.0647,0.1863,0.3043,1.7238,4.1027,0.87,2.7754,0.0499,0.0017,1.156,0.127,1.283,2293.13,347.906,6.155,9.433,60.327,3918.32,3.117,3.135,6.374,4.657,0.0015,0.077,40.697,8.021,78.925,23.599,10.51
604,1485,2012-02-08 20:07:00,2012-02-08 15:04:00,42,3.5 - 10 µm,66.941,2.2205,0.0395,0.1342,0.2729,1.3975,4.0064,0.2714,2.1152,0.0258,0.0039,1.251,0.135,1.386,1119.15,133.459,2.094,3.979,22.376,1393.13,1.374,1.028,2.475,1.134,0.0015,0.0005,16.005,3.125,26.781,6.679,3.632
605,1486,2012-02-09 11:30:00,2012-02-08 20:50:00,42,0.05 - 0.14 µm,0.597,0.0257,0.0108,0.0068,0.0039,0.0702,0.0462,0.0132,0.0406,0.0003,0.0001,0.017,0.003,0.02,9.5,0.323,0.064,0.439,0.096,4.99,0.079,0.117,0.204,0.051,0.0015,0.002,0.173,0.006,0.0024,0.0018,0.003
606,1487,2012-02-09 11:30:00,2012-02-08 20:50:00,42,0.14 - 0.42 µm,2.783,0.0379,0.0994,0.0083,0.0085,0.1058,0.0345,0.0128,0.6636,0.004,0.0007,0.082,0.0,0.082,24.81,3.475,0.912,0.301,0.799,37.39,0.347,0.195,0.565,0.346,0.085,0.022,0.546,0.068,1.268,0.102,0.143
607,1488,2012-02-09 11:30:00,2012-02-08 20:50:00,42,0.42 - 1.2 µm,15.958,3.6577,0.0552,0.2101,0.3841,1.0849,6.171,1.3515,2.7528,0.0631,0.0039,0.218,0.083,0.301,273.83,26.794,0.86,1.744,8.187,351.95,0.341,0.414,1.173,0.557,0.154,0.082,5.144,0.574,7.575,1.53,1.702
608,1489,2012-02-09 11:30:00,2012-02-08 20:50:00,42,1.2 - 3.5 µm,81.904,0.2562,0.0113,0.0267,0.0379,0.2312,0.3962,0.1766,0.4389,0.0092,0.0006,0.987,0.24,1.226,1600.9,80.296,2.63,1.947,33.732,1168.61,0.973,1.287,2.27,1.626,0.0015,0.085,22.178,2.3,30.746,3.818,4.032
609,1490,2012-02-09 11:30:00,2012-02-08 20:50:00,42,3.5 - 10 µm,58.521,2.4112,0.0329,0.1191,0.2694,0.7779,4.2666,0.3326,1.8093,0.0318,0.0051,0.806,0.411,1.217,1562.65,148.809,3.07,2.92,27.771,1511.09,1.401,1.227,2.668,1.812,0.0015,0.0005,18.25,3.783,37.975,9.86,5.523
610,1491,2012-02-10 12:17:00,2012-02-09 12:14:00,42,0.05 - 0.14 µm,0.175,0.0385,0.0136,0.0035,0.0017,0.0348,0.0249,0.0088,0.0439,0.0002,0.0002,0.049,0.052,0.102,5.78,0.835,0.061,0.382,0.047,7.41,0.058,0.083,0.15,0.043,0.008,0.0005,0.129,0.015,0.0024,0.0018,0.003
611,1492,2012-02-10 12:17:00,2012-02-09 12:14:00,42,0.14 - 0.42 µm,1.175,0.0192,0.1192,0.0026,0.0044,0.1374,0.0142,0.0074,0.7139,0.0027,0.0011,0.052,0.04,0.092,5.64,1.242,0.744,0.316,0.12,11.94,0.396,0.165,0.313,0.102,0.036,0.015,0.174,0.015,0.045,0.0018,0.003
612,1493,2012-02-10 12:17:00,2012-02-09 12:14:00,42,0.42 - 1.2 µm,3.882,0.3204,0.0118,0.0169,0.0453,0.0996,0.4398,0.1075,0.5524,0.0068,0.0006,0.098,0.015,0.113,43.84,5.497,0.316,0.369,1.163,66.1,0.217,0.274,0.508,0.245,0.048,0.076,1.09,0.115,1.349,0.04,0.208
613,1494,2012-02-10 12:17:00,2012-02-09 12:14:00,42,1.2 - 3.5 µm,20.722,2.7311,0.023,0.097,0.2874,0.4394,4.7723,0.8328,1.4914,0.0247,0.0043,0.281,0.0,0.281,398.88,35.072,0.779,1.12,5.837,410.41,0.438,0.716,0.822,0.363,0.0015,0.178,7.1,0.844,7.385,1.315,1.248
614,1495,2012-02-10 12:17:00,2012-02-09 12:14:00,42,3.5 - 10 µm,15.474,1.8766,0.0186,0.0706,0.2083,0.3665,3.4488,0.2968,0.9668,0.0084,0.0025,0.245,0.01,0.255,233.87,19.857,0.505,0.904,3.157,215.21,0.232,0.438,0.497,0.277,0.07,0.009,3.904,0.491,3.381,0.515,0.701
615,1496,2012-02-11 12:20:00,2012-02-10 13:03:00,42,0.05 - 0.14 µm,0.068,0.0074,0.0201,0.0003,0.0015,0.0356,0.0081,0.0029,0.0677,0.0006,0.0002,0.024,0.007,0.031,3.17,0.192,0.037,0.303,0.027,2.28,0.042,0.079,0.152,0.046,0.0015,0.0005,0.115,0.0024,0.0024,0.0018,0.003
616,1497,2012-02-11 12:20:00,2012-02-10 13:03:00,42,0.14 - 0.42 µm,1.418,0.0274,0.1867,0.0137,0.0047,0.0489,0.0155,0.0055,0.967,0.0102,0.0026,0.016,0.024,0.04,4.4,0.283,0.702,0.235,0.017,3.44,0.413,0.123,0.543,0.14,0.048,0.019,0.101,0.031,0.026,0.0018,0.003
617,1498,2012-02-11 12:20:00,2012-02-10 13:03:00,42,0.42 - 1.2 µm,2.383,0.3087,0.0112,0.0199,0.0434,0.1015,0.4143,0.1463,0.4794,0.0168,0.0021,0.062,0.023,0.084,50.56,1.795,0.203,0.523,0.314,21.27,0.084,0.177,0.626,0.113,0.081,0.085,0.654,0.039,0.852,0.0018,0.072
618,1499,2012-02-11 12:20:00,2012-02-10 13:03:00,42,1.2 - 3.5 µm,14.149,2.2521,0.0148,0.0893,0.262,0.5148,4.0017,0.9241,2.0568,0.0372,0.0035,0.236,0.0,0.236,654.45,36.92,0.828,1.52,4.669,404.76,0.474,0.578,1.717,0.595,0.119,0.21,9.151,0.64,5.524,0.0018,0.913
619,1500,2012-02-11 12:20:00,2012-02-10 13:03:00,42,3.5 - 10 µm,13.858,2.6759,0.0226,0.0881,0.3083,0.4018,4.7861,0.4715,1.2674,0.02,0.0075,0.197,0.008,0.206,275.62,6.9,0.21,0.48,1.381,76.38,0.118,0.204,0.288,0.0114,0.09,0.018,3.787,0.15,1.379,0.0018,0.381
620,1501,2012-02-12 14:01:00,2012-02-11 12:59:00,42,0.05 - 0.14 µm,0.257,0.0485,0.0217,0.0092,0.0036,0.0904,0.0509,0.0089,0.3525,0.0003,0.0001,0.065,0.0,0.065,9.23,0.517,0.055,0.551,0.019,5.5,0.058,0.083,0.137,0.039,0.008,0.0005,0.113,0.011,0.0024,0.0018,0.003
621,1502,2012-02-12 14:01:00,2012-02-11 12:59:00,42,0.14 - 0.42 µm,2.112,0.0281,0.1979,0.014,0.0067,0.0802,0.0361,0.0079,1.1024,0.013,0.0028,0.19,0.017,0.206,25.35,1.922,0.571,0.275,0.349,23.31,0.289,0.211,0.715,0.208,0.054,0.03,0.265,0.037,0.564,0.0018,0.036
622,1503,2012-02-12 14:01:00,2012-02-11 12:59:00,42,0.42 - 1.2 µm,5.084,0.2411,0.0079,0.0222,0.0352,0.2208,0.3557,0.1817,0.5783,0.0233,0.0021,0.11,0.003,0.112,177.81,1.741,0.249,0.375,1.571,39.55,0.112,0.257,0.715,0.422,0.105,0.065,1.553,0.063,1.531,0.0018,0.194
623,1504,2012-02-12 14:01:00,2012-02-11 12:59:00,42,1.2 - 3.5 µm,27.44,1.843,0.0184,0.0771,0.21,0.6462,3.2917,1.0344,1.4803,0.0597,0.0021,0.455,0.022,0.476,1166.92,58.73,1.703,1.548,11.046,764.71,0.614,1.06,1.518,1.059,0.0015,0.134,9.937,1.354,15.75,2.414,1.939
624,1505,2012-02-12 14:01:00,2012-02-11 12:59:00,42,3.5 - 10 µm,23.426,1.9003,0.0194,0.0799,0.2269,0.5037,3.5212,0.4862,1.2705,0.0296,0.0051,0.427,0.044,0.471,889.8,45.314,1.168,1.191,7.768,536.85,0.454,0.662,1.14,0.862,0.24,0.0005,7.973,1.098,9.184,1.547,1.413
625,1506,2012-02-13 12:37:00,2012-02-12 14:24:00,42,0.05 - 0.14 µm,0.263,0.0076,0.0104,0.0003,0.0037,0.0276,0.0196,0.0059,0.0497,0.0003,0.0009,0.074,0.0,0.074,1.56,0.11,0.062,0.248,0.029,1.38,0.059,0.024,0.059,0.026,0.006,0.0005,0.06,0.011,0.0024,0.0018,0.0
626,1507,2012-02-13 12:37:00,2012-02-12 14:24:00,42,0.14 - 0.42 µm,1.76,0.0132,0.1455,0.0087,0.0058,0.0503,0.0148,0.0074,0.5162,0.0046,0.0001,0.095,0.015,0.11,18.76,1.053,0.493,0.106,0.349,15.97,0.221,0.139,0.363,0.447,0.0015,0.027,0.271,0.03,0.428,0.0018,0.003
627,1508,2012-02-13 12:37:00,2012-02-12 14:24:00,42,0.42 - 1.2 µm,4.48,0.1595,0.0003,0.0065,0.0223,0.1428,0.1778,0.1271,0.3296,0.0079,0.0032,0.201,0.018,0.218,117.74,3.164,0.231,0.327,1.705,59.48,0.12,0.235,0.54,0.85,0.0015,0.07,1.469,0.087,1.734,0.0018,0.234
628,1509,2012-02-13 12:37:00,2012-02-12 14:24:00,42,1.2 - 3.5 µm,24.554,1.234,0.0059,0.0674,0.1122,0.5902,1.9309,0.8211,0.8716,0.026,0.0016,0.43,0.032,0.462,658.73,11.714,0.667,0.854,8.072,239.53,0.397,0.767,0.869,0.656,0.033,0.093,7.19,0.422,5.139,0.665,1.185
629,1510,2012-02-13 12:37:00,2012-02-12 14:24:00,42,3.5 - 10 µm,24.765,1.2374,0.0046,0.0733,0.1165,0.427,1.9599,0.2346,0.5719,0.0137,0.0078,0.506,0.054,0.56,890.97,49.254,1.323,1.221,8.664,535.53,0.623,0.622,1.098,0.651,0.0015,0.0005,7.71,1.234,5.736,2.488,2.603
630,1511,2012-02-14 11:51:00,2012-02-13 13:14:00,42,0.05 - 0.14 µm,0.242,0.0075,0.012,0.0003,0.0029,0.0313,0.0204,0.0051,0.0497,0.0003,0.0008,0.054,0.0,0.054,4.23,0.32,0.076,0.415,0.048,3.69,0.064,0.024,0.084,0.045,0.0015,0.0005,0.093,0.019,0.0024,0.0018,0.003
631,1512,2012-02-14 11:51:00,2012-02-13 13:14:00,42,0.14 - 0.42 µm,1.22,0.0279,0.1012,0.0073,0.0046,0.0552,0.044,0.008,0.4073,0.0015,0.0001,0.095,0.002,0.097,5.08,0.262,0.497,0.295,0.104,4.89,0.243,0.081,0.277,0.254,0.0015,0.026,0.105,0.0,0.102,0.0018,0.003
632,1513,2012-02-14 11:51:00,2012-02-13 13:14:00,42,0.42 - 1.2 µm,2.944,0.171,0.0022,0.0055,0.0191,0.0767,0.1241,0.0763,0.3343,0.0045,0.0019,0.022,0.0,0.022,33.16,1.534,0.161,0.191,0.495,22.05,0.086,0.11,0.393,0.397,0.014,0.062,0.539,0.035,0.581,0.07,0.093
633,1514,2012-02-14 11:51:00,2012-02-13 13:14:00,42,1.2 - 3.5 µm,11.189,0.9726,0.0012,0.0486,0.1016,0.2214,1.452,0.6244,0.3309,0.017,0.0001,0.177,0.005,0.182,249.88,12.127,0.359,0.364,2.818,147.97,0.231,0.353,0.465,0.154,0.0015,0.108,2.893,0.29,2.134,0.505,0.718
634,1515,2012-02-14 11:51:00,2012-02-13 13:14:00,42,3.5 - 10 µm,11.973,1.7302,0.0023,0.06,0.1187,0.2679,2.5491,0.4772,0.4879,0.0067,0.0001,0.224,0.004,0.228,225.48,16.907,0.355,0.422,2.217,174.46,0.232,0.282,0.459,0.117,0.0015,0.016,2.507,0.419,1.667,0.694,0.646
635,1516,2012-02-15 11:33:00,2012-02-14 12:30:00,42,0.05 - 0.14 µm,0.197,0.0095,0.012,0.0012,0.0013,0.0433,0.0153,0.0148,0.0405,0.002,0.0002,0.105,0.009,0.114,2.44,0.184,0.127,0.173,0.0048,2.15,0.069,0.049,0.114,0.057,0.013,0.017,0.058,0.031,0.0024,0.0018,0.003
636,1517,2012-02-15 11:33:00,2012-02-14 12:30:00,42,0.14 - 0.42 µm,1.232,0.0137,0.1341,0.0063,0.0032,0.0368,0.015,0.0036,0.5155,0.005,0.0004,0.084,0.102,0.186,1.8,0.114,0.653,0.171,0.032,1.77,0.332,0.122,0.34,0.332,0.01,0.03,0.066,0.009,0.0024,0.0018,0.003
637,1518,2012-02-15 11:33:00,2012-02-14 12:30:00,42,0.42 - 1.2 µm,2.246,0.1751,0.0034,0.0232,0.02,0.075,0.1416,0.0338,0.3698,0.002,0.0004,0.033,0.008,0.04,30.92,2.688,0.225,0.374,0.544,31.37,0.165,0.216,0.633,0.407,0.04,0.071,0.629,0.048,0.433,0.0018,0.003
638,1519,2012-02-15 11:33:00,2012-02-14 12:30:00,42,1.2 - 3.5 µm,9.977,0.883,0.0057,0.0372,0.1212,0.7554,1.2963,0.4041,2.6091,0.005,0.0008,0.133,0.019,0.152,161.63,2.305,0.165,0.194,1.272,45.71,0.124,0.276,0.278,0.088,0.0015,0.128,2.478,0.052,1.441,0.137,0.282
639,1520,2012-02-15 11:33:00,2012-02-14 12:30:00,42,3.5 - 10 µm,10.31,1.1035,0.0116,0.0459,0.1394,0.1613,2.0853,0.3501,0.2867,0.0049,0.0028,0.21,0.021,0.231,140.2,5.639,0.213,0.367,1.149,65.04,0.155,0.373,0.166,0.085,0.032,0.02,2.408,0.109,0.485,0.0018,0.161
640,1521,2012-02-16 11:33:00,2012-02-15 12:10:00,42,0.05 - 0.14 µm,0.103,0.0064,0.0137,0.0003,0.0012,0.0588,0.0135,0.003,0.0506,0.0015,0.0001,0.133,0.007,0.14,0.86,0.065,0.04,0.038,0.0048,0.57,0.049,0.024,0.056,0.028,0.009,0.0005,0.044,0.011,0.0024,0.0018,0.003
641,1522,2012-02-16 11:33:00,2012-02-15 12:10:00,42,0.14 - 0.42 µm,1.355,0.0159,0.1672,0.0106,0.0035,0.1156,0.0101,0.0032,0.7197,0.0027,0.0007,0.059,0.022,0.081,1.68,0.104,0.431,0.037,0.042,1.65,0.253,0.068,0.373,0.232,0.0015,0.021,0.039,0.013,0.0024,0.0018,0.003
642,1523,2012-02-16 11:33:00,2012-02-15 12:10:00,42,0.42 - 1.2 µm,1.368,0.2367,0.0041,0.0128,0.0338,0.1179,0.1995,0.0528,0.4244,0.0112,0.0008,0.083,0.012,0.096,11.22,0.675,0.112,0.05,0.133,5.68,0.064,0.103,0.722,0.275,0.005,0.06,0.271,0.021,0.0024,0.0018,0.003
643,1524,2012-02-16 11:33:00,2012-02-15 12:10:00,42,1.2 - 3.5 µm,6.958,0.6782,0.0086,0.0575,0.2038,0.0851,1.1989,0.2966,0.1801,0.029,0.003,0.124,0.0,0.124,83.14,2.663,0.108,0.155,0.38,28.18,0.154,0.186,0.471,0.0114,0.0015,0.097,1.495,0.041,0.263,0.211,0.236
644,1525,2012-02-16 11:33:00,2012-02-15 12:10:00,42,3.5 - 10 µm,8.059,1.1609,0.0075,0.0648,0.2235,0.1323,2.2407,0.3423,0.2705,0.0125,0.0014,0.214,0.003,0.217,73.79,1.984,0.064,0.11,0.387,19.95,0.083,0.13,0.149,0.033,0.0015,0.018,1.558,0.029,0.0024,0.0018,0.123
645,1526,2012-02-17 11:45:00,2012-02-16 12:12:00,42,0.05 - 0.14 µm,0.118,0.0071,0.0137,0.0046,0.0006,0.0485,0.0193,0.0028,0.0384,0.0013,0.0001,0.122,0.003,0.126,1.3,0.121,0.044,0.052,0.0048,0.84,0.043,0.024,0.114,0.053,0.019,0.012,0.052,0.015,0.0024,0.0018,0.003
646,1527,2012-02-17 11:45:00,2012-02-16 12:12:00,42,0.14 - 0.42 µm,1.415,0.0065,0.1242,0.005,0.0017,0.0643,0.0069,0.0143,0.5427,0.0036,0.0004,0.156,0.081,0.238,1.57,0.061,0.493,0.132,0.034,1.0,0.254,0.115,0.413,0.304,0.059,0.036,0.043,0.0024,0.0024,0.0018,0.003
647,1528,2012-02-17 11:45:00,2012-02-16 12:12:00,42,0.42 - 1.2 µm,1.095,0.1421,0.0026,0.0079,0.0191,0.0759,0.0619,0.0311,0.3356,0.0102,0.0003,0.672,0.01,0.682,6.88,0.133,0.127,0.198,0.063,2.1,0.12,0.314,0.712,0.405,0.0015,0.058,0.159,0.007,0.0024,0.0018,0.003
648,1529,2012-02-17 11:45:00,2012-02-16 12:12:00,42,1.2 - 3.5 µm,4.478,0.8231,0.0035,0.0313,0.1204,0.0978,1.4343,0.4236,0.2096,0.0209,0.0004,0.219,0.069,0.287,30.71,0.533,0.076,0.134,0.131,5.75,0.083,0.301,0.442,0.104,0.044,0.098,0.813,0.042,0.0024,0.0018,0.003
649,1530,2012-02-17 11:45:00,2012-02-16 12:12:00,42,3.5 - 10 µm,5.956,1.4133,0.0067,0.0432,0.1531,0.1554,2.6803,0.4332,0.3723,0.0078,0.0026,0.135,0.0,0.135,48.74,1.086,0.0,0.114,0.166,10.61,0.04,0.192,0.123,0.051,0.015,0.038,1.236,0.028,0.0024,0.0018,0.003
650,1531,2012-02-20 11:58:00,2012-02-17 12:12:00,42,0.05 - 0.14 µm,0.128,0.0022,0.0114,0.0003,0.0003,0.0178,0.0046,0.0006,0.0411,0.001,0.0001,0.097,0.011,0.108,0.44,0.028,0.04,0.0168,0.0048,0.25,0.026,0.024,0.029,0.0114,0.0015,0.001,0.0186,0.001,0.0024,0.0018,0.003
651,1532,2012-02-20 11:58:00,2012-02-17 12:12:00,42,0.14 - 0.42 µm,0.884,0.0086,0.0899,0.0045,0.0016,0.0331,0.0042,0.001,0.3346,0.0055,0.0004,0.153,0.117,0.269,1.36,0.16,0.47,0.0168,0.048,2.31,0.24,0.093,0.295,0.28,0.019,0.027,0.043,0.013,0.024,0.0018,0.017
652,1533,2012-02-20 11:58:00,2012-02-17 12:12:00,42,0.42 - 1.2 µm,2.143,0.1439,0.0016,0.0089,0.021,0.0452,0.1577,0.0265,0.2135,0.0017,0.0005,0.188,0.028,0.216,18.63,1.863,0.189,0.078,0.441,22.86,0.079,0.142,0.45,0.221,0.043,0.056,0.469,0.04,0.515,0.095,0.121
653,1534,2012-02-20 11:58:00,2012-02-17 12:12:00,42,1.2 - 3.5 µm,9.103,0.7537,0.0092,0.0003,0.1153,0.1097,1.4499,0.2808,0.2957,0.0132,0.0025,0.337,0.016,0.353,132.97,2.928,0.164,0.13,1.31,52.69,0.088,0.23,0.295,0.063,0.0015,0.094,2.146,0.082,0.934,0.236,0.289
654,1535,2012-02-20 11:58:00,2012-02-17 12:12:00,42,3.5 - 10 µm,8.901,1.3131,0.0136,0.0003,0.1118,0.1615,2.6805,0.2703,0.3986,0.0043,0.0027,0.357,0.084,0.442,148.75,6.241,0.182,0.229,1.031,64.13,0.111,0.226,0.199,0.077,0.003,0.018,2.22,0.143,0.856,0.256,0.316
