No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
821,2011-01-11T14:48:00,2011-01-14T11:28,42,0.05 - 0.14 µm,0.477,-0.0004,0.0083,<0.0006,0.0007,0.0028,0.0028,0.0027,0.0326,0.001,<0.0002,0.02,<0.010,0.028,2.69,0.22,0.068,<0.0336,0.05,2.8,0.03,0.08,0.38,0.023,0.005,0.001,0.03,<0.0048,<0.0048,<0.0036,0.01
822,2011-01-11T14:48:00,2011-01-14T11:28,42,0.14 - 0.42 µm,1.617,0.0094,0.0892,0.0044,0.005,0.0172,0.0071,0.0044,0.3028,0.0055,0.0006,0.034,0.013,0.046,7.48,0.68,0.382,<0.0336,0.27,10.3,0.15,0.23,0.6,0.213,0.041,0.013,0.13,0.012,0.22,0.06,0.03
823,2011-01-11T14:48:00,2011-01-14T11:28,42,0.42 - 1.2 µm,6.705,0.1471,0.013,0.0128,0.0164,0.0504,0.1712,0.0782,0.2595,0.0027,<0.0002,0.046,0.032,0.078,22.99,1.95,0.091,0.06,0.74,27.79,0.03,0.29,0.62,0.249,0.036,0.016,0.41,0.034,0.59,<0.0036,0.08
824,2011-01-11T14:48:00,2011-01-14T11:28,42,1.2 - 3.5 µm,40.365,1.2907,0.014,0.0629,0.0765,0.4156,2.0351,0.5446,0.5627,0.0139,0.0005,0.189,0.044,0.233,287.62,35.26,1.011,0.71,10.88,535.84,0.42,0.4,1.18,0.948,<0.003,0.082,6.45,1.294,5.9,4.05,1.02
825,2011-01-11T14:48:00,2011-01-14T11:28,42,3.5 - 10 µm,32.766,1.8802,0.0111,0.0736,0.084,0.5087,3.2168,0.2394,0.7004,0.0086,0.0007,0.268,0.047,0.315,284.65,52.42,0.785,0.9,8.94,556.6,0.41,0.43,1.03,0.983,<0.003,,5.37,1.299,7.31,4.4,1.08
1106,2011-01-14T11:56:00,2011-01-17T11:20,42,0.05 - 0.14 µm,0.334,0.0044,0.0082,<0.0006,0.001,0.0144,0.0061,0.0027,0.0232,<0.0002,<0.0002,0.035,0.014,0.049,2.78,0.16,0.046,0.05,0.02,1.96,0.02,<0.048,0.42,0.023,0.004,0.001,0.02,<0.0048,<0.0048,<0.0036,<0.006
1107,2011-01-14T11:56:00,2011-01-17T11:20,42,0.14 - 0.42 µm,1.049,0.0079,0.0632,0.0029,0.0021,0.0179,0.0043,0.0035,0.1919,0.0011,<0.0002,0.053,0.021,0.075,5.58,0.25,0.259,<0.0336,0.12,4.52,0.1,<0.048,0.45,0.106,0.014,0.012,0.08,0.005,0.15,0.01,0.01
1108,2011-01-14T11:56:00,2011-01-17T11:20,42,0.42 - 1.2 µm,3,0.1029,0.0037,0.0068,0.0144,0.0603,0.1315,0.0609,0.1444,0.0022,0.0002,0.048,0.023,0.071,35.82,1.07,0.097,0.05,0.68,24.17,0.04,<0.048,0.45,0.182,0.031,0.04,0.56,0.029,0.62,<0.0036,0.08
1109,2011-01-14T11:56:00,2011-01-17T11:20,42,1.2 - 3.5 µm,17.165,0.996,0.0027,0.0465,0.067,0.361,1.664,0.4121,0.4659,0.0141,0.0003,0.162,0.012,0.175,307.55,25.11,0.648,0.58,5.88,338.83,0.26,0.24,0.76,0.417,<0.003,0.084,4.79,0.588,4.73,1.25,0.77
1110,2011-01-14T11:56:00,2011-01-17T11:20,42,3.5 - 10 µm,12.661,1.1258,0.0028,0.0467,0.0568,0.2821,2.0507,0.1742,0.3627,0.0028,0.0007,0.162,0.006,0.169,158.4,13.5,0.262,0.28,2.27,155.59,0.12,0.11,0.34,0.174,<0.003,0.005,2.3,0.325,2.16,0.67,0.37
1121,2011-01-17T11:55:00,2011-01-18T11:00,42,0.05 - 0.14 µm,0.379,0.0098,0.0086,<0.0006,0.0044,0.0518,0.0155,0.0055,0.0181,<0.0002,<0.0002,0.088,0.021,0.109,5.95,0.13,0.079,0.1,0.02,1.9,0.04,0.05,1.01,0.026,0.006,<0.001,0.04,<0.0048,0.05,<0.0036,0.01
1122,2011-01-17T11:55:00,2011-01-18T11:00,42,0.14 - 0.42 µm,1.237,0.0176,0.043,0.0007,0.0025,0.0372,0.0212,0.0064,0.1378,<0.0002,<0.0002,0.06,0.018,0.078,10.84,0.33,0.313,0.05,0.17,5.67,0.14,0.07,1.2,0.082,<0.003,0.008,0.1,0.009,<0.0048,<0.0036,<0.006
1123,2011-01-17T11:55:00,2011-01-18T11:00,42,0.42 - 1.2 µm,10.932,0.5735,0.0229,0.0378,0.0578,0.2767,0.9354,0.3426,0.3421,0.0063,0.0004,0.083,<0.010,0.083,63.02,7.19,0.173,0.25,2.22,90.12,0.09,0.11,1.22,0.106,0.026,0.045,1.13,0.122,1.87,0.33,0.32
1124,2011-01-17T11:55:00,2011-01-18T11:00,42,1.2 - 3.5 µm,61.197,1.561,0.0304,0.0978,0.1339,0.7338,2.675,0.8729,0.9051,0.016,0.0006,0.47,0.152,0.621,751.31,54.64,1.361,1.39,21.99,738.67,0.53,0.56,1.78,0.941,<0.003,0.114,11.57,1.352,13.71,2.75,3
1125,2011-01-17T11:55:00,2011-01-18T11:00,42,3.5 - 10 µm,47.047,1.693,0.0181,0.0924,0.1288,0.648,3.0081,0.3765,0.7442,0.0114,0.0008,0.496,0.196,0.693,481.91,120.36,1.278,2.16,17.79,1092.46,0.84,0.73,2.07,1.565,<0.003,<0.001,8.39,2.47,19.02,7.62,2.91
1126,2011-01-18T11:35:00,2011-01-19T11:05,42,0.05 - 0.14 µm,1.142,0.0054,0.0066,<0.0006,0.0028,0.0434,0.0123,0.0094,0.0227,<0.0002,<0.0002,0.113,0.064,0.177,10.23,2.27,0.093,0.25,0.25,21.42,0.04,0.12,1.08,0.032,0.019,<0.001,0.14,0.024,0.24,0.04,0.07
1127,2011-01-18T11:35:00,2011-01-19T11:05,42,0.14 - 0.42 µm,2.815,0.0118,0.0433,0.0051,0.0044,0.0411,0.0152,0.0138,0.1489,<0.0002,<0.0002,0.099,0.043,0.142,10.85,1.41,0.165,0.08,0.24,14.49,0.07,0.08,1.15,0.034,0.006,0.002,0.12,0.027,0.21,<0.0036,0.03
1128,2011-01-18T11:35:00,2011-01-19T11:05,42,0.42 - 1.2 µm,9.083,0.0698,0.0155,0.0051,0.0116,0.0727,0.0979,0.0993,0.119,0.0011,0.0002,0.07,0.09,0.161,50.28,8.28,0.123,0.18,1.86,91.66,0.09,0.12,1.21,0.07,0.027,0.015,0.86,0.131,1.9,0.33,0.24
1129,2011-01-18T11:35:00,2011-01-19T11:05,42,1.2 - 3.5 µm,70.219,0.8657,0.0503,0.0826,0.0843,0.6135,1.4725,0.8724,0.4877,0.0072,0.0003,0.301,0.083,0.384,445.75,43.21,0.893,1.25,16.42,567.38,0.42,0.43,1.55,0.607,,0.031,7,1.083,12,3.19,2.21
1130,2011-01-18T11:35:00,2011-01-19T11:05,42,3.5 - 10 µm,42.931,0.83,0.0249,0.0571,0.0772,0.419,1.5161,0.3533,0.3641,0.0058,0.0004,0.37,0.035,0.405,312.35,64.31,0.773,1.06,10.62,625.94,0.49,0.46,1.36,0.663,,<0.001,4.91,1.266,10.77,4.2,1.72
1131,2011-01-19T11:35:00,2011-01-20T11:05,42,0.05 - 0.14 µm,0.404,0.0043,0.0066,<0.0006,0.0015,0.0331,0.0153,0.0063,0.0223,<0.0002,<0.0002,0.081,<0.010,0.081,7.22,0.61,<0.0036,0.09,0.04,6.54,<0.0144,<0.048,0.99,0.033,0.002,<0.001,0.08,<0.0048,0.06,<0.0036,<0.006
1132,2011-01-19T11:35:00,2011-01-20T11:05,42,0.14 - 0.42 µm,1.325,0.0033,0.093,0.0035,0.0018,0.038,0.0075,0.0045,0.2424,0.0012,<0.0002,0.103,0.007,0.11,11.75,1.45,0.318,0.14,0.25,15.13,0.11,0.12,1.24,0.105,0.034,0.012,0.18,0.035,0.22,0.05,0.03
1133,2011-01-19T11:35:00,2011-01-20T11:05,42,0.42 - 1.2 µm,2.388,0.1035,0.0077,0.0021,0.0141,0.0674,0.1069,0.0801,0.1247,0.0015,0.0003,0.075,0.003,0.078,23.16,3.01,0.084,0.09,0.58,30.21,0.02,0.44,1.3,0.117,0.021,0.029,0.41,0.043,0.3,<0.0036,0.08
1134,2011-01-19T11:35:00,2011-01-20T11:05,42,1.2 - 3.5 µm,14.77,0.8082,0.0113,0.041,0.0822,0.2409,1.3413,0.6714,0.3552,0.0031,0.0003,0.126,0.009,0.135,180.07,16.14,0.329,0.53,4.34,191.95,0.14,0.18,1.18,0.181,<0.003,0.069,3.06,0.292,3.2,0.46,0.65
1135,2011-01-19T11:35:00,2011-01-20T11:05,42,3.5 - 10 µm,10.778,0.808,0.007,0.0316,0.0705,0.2001,1.4441,0.2287,0.2472,0.0008,0.0002,0.057,<0.010,0.057,197.81,22.03,0.276,0.44,3.44,214.6,0.18,0.17,0.68,0.112,0.046,0.012,2.98,0.38,2.93,0.87,0.59
1136,2011-01-20T11:35:00,2011-01-21T11:05,42,0.05 - 0.14 µm,0.435,<0.0006,0.0131,<0.0006,0.0013,0.0752,0.0103,0.0121,0.0471,0.001,0.0005,0.102,0.013,0.114,6.98,0.64,0.021,0.16,0.03,5.98,<0.0144,0.06,1.12,0.051,<0.003,0.001,0.06,0.007,0.03,<0.0036,<0.006
1137,2011-01-20T11:35:00,2011-01-21T11:05,42,0.14 - 0.42 µm,1.686,0.0021,0.1208,0.0068,0.0017,0.0549,0.0075,0.0111,0.3517,0.0025,0.0007,0.106,0.089,0.195,9.98,0.45,0.457,0.12,0.18,6.96,0.19,0.16,1.29,0.299,<0.003,0.039,0.13,0.03,0.16,<0.0036,0.03
1138,2011-01-20T11:35:00,2011-01-21T11:05,42,0.42 - 1.2 µm,2.523,0.0851,0.0043,0.0072,0.012,0.0829,0.0528,0.0618,0.187,0.0027,0.0001,0.069,<0.010,0.069,20.75,1.05,0.097,0.25,0.42,14.5,0.04,0.14,1.33,0.351,0.024,0.033,0.3,0.025,0.31,<0.0036,0.06
1139,2011-01-20T11:35:00,2011-01-21T11:05,42,1.2 - 3.5 µm,13.985,0.6168,0.0051,0.033,0.0828,0.0696,0.903,0.6804,0.2408,0.0088,0.0013,0.244,0.045,0.289,192.57,17.56,0.386,0.57,4.26,208.18,0.14,0.19,1.31,0.22,0.018,0.085,3.12,0.306,2.99,0.41,0.63
1140,2011-01-20T11:35:00,2011-01-21T11:05,42,3.5 - 10 µm,11.772,0.8812,0.0058,0.0379,0.0808,0.0756,1.4642,0.4121,0.2439,0.0027,0.0009,0.122,<0.010,0.122,152.74,21.22,0.277,0.5,3.07,206.34,0.17,0.16,0.65,0.159,<0.003,0.011,2.4,0.373,2.85,0.94,0.57
1141,2011-01-21T11:35:00,2011-01-22T11:05,42,0.05 - 0.14 µm,0.249,<0.0006,0.0112,<0.0006,0.0011,0.0561,0.0105,0.013,0.0431,0.0005,0.0002,0.119,0.034,0.153,6.49,0.3,<0.0036,0.14,0.03,2.57,0.02,0.06,1.33,0.024,<0.003,0.001,0.04,<0.0048,<0.0048,<0.0036,<0.006
1142,2011-01-21T11:35:00,2011-01-22T11:05,42,0.14 - 0.42 µm,1.633,0.0036,0.1407,0.0075,0.0021,0.0506,0.0108,0.0119,0.4761,0.0009,0.0011,0.08,0.048,0.128,10.38,0.84,0.351,0.2,0.18,10.05,0.16,0.15,1.3,0.162,0.037,0.02,0.14,0.025,0.16,<0.0036,<0.006
1143,2011-01-21T11:35:00,2011-01-22T11:05,42,0.42 - 1.2 µm,2.24,0.0619,0.0145,0.007,0.0097,0.0829,0.011,0.0368,0.2405,0.004,<0.0002,0.126,0.016,0.142,22.41,2.21,0.122,0.09,0.59,25.89,0.05,0.17,1.3,0.234,0.029,0.031,0.36,0.045,0.41,<0.0036,0.03
1144,2011-01-21T11:35:00,2011-01-22T11:05,42,1.2 - 3.5 µm,9.682,0.4856,0.0055,0.0255,0.0688,0.1991,0.7337,0.499,0.2882,0.006,0.0006,0.095,0.018,0.113,160.61,13.21,0.31,0.76,3.54,162.42,0.14,0.23,1.51,0.138,0.113,0.087,2.53,0.232,2.29,<0.0036,0.6
1145,2011-01-21T11:35:00,2011-01-22T11:05,42,3.5 - 10 µm,7.921,0.6529,0.0055,0.0265,0.0658,0.0547,1.1147,0.355,0.1618,0.0016,<0.0002,0.185,<0.010,0.185,129.42,17.92,0.276,0.47,2.47,178.43,0.15,0.15,0.57,0.112,<0.003,0.007,1.98,0.319,2.21,1.47,0.48
1146,2011-01-22T11:35:00,2011-01-23T11:05,42,0.05 - 0.14 µm,0.267,<0.0006,0.0035,<0.0006,0.0011,0.0398,0.0098,0.0023,0.0161,<0.0002,<0.0002,0.086,0.045,0.131,6.52,0.17,0.005,0.18,0.01,2.12,<0.0144,0.05,1.06,0.022,<0.003,<0.001,0.04,<0.0048,0.02,<0.0036,0.01
1147,2011-01-22T11:35:00,2011-01-23T11:05,42,0.14 - 0.42 µm,1.164,<0.0006,0.0482,<0.0006,0.0024,0.0443,0.0096,0.0029,0.2283,<0.0002,<0.0002,0.116,0.033,0.149,13.57,1.43,0.233,0.44,0.27,16.94,0.1,0.1,1.24,0.154,0.033,0.01,0.2,0.025,0.26,<0.0036,<0.006
1148,2011-01-22T11:35:00,2011-01-23T11:05,42,0.42 - 1.2 µm,1.449,0.0226,0.0078,<0.0006,0.005,0.0525,0.0144,0.0167,0.0897,<0.0002,0.0007,0.155,0.092,0.247,16.53,1.02,0.046,0.14,0.29,11.93,0.03,0.41,1.34,0.105,0.017,0.014,0.21,0.016,0.3,<0.0036,0.06
1149,2011-01-22T11:35:00,2011-01-23T11:05,42,1.2 - 3.5 µm,7.445,0.2478,0.0089,0.009,0.0343,0.1418,0.3943,0.3171,0.1532,0.0013,<0.0002,0.066,<0.010,0.075,89.25,7.06,0.132,0.13,1.81,82.28,0.06,0.09,1.04,,<0.003,0.035,1.31,0.12,0.77,<0.0036,0.17
1150,2011-01-22T11:35:00,2011-01-23T11:05,42,3.5 - 10 µm,5.137,0.4009,0.0029,0.0121,0.04,0.1459,0.6881,0.1883,0.123,0.0006,<0.0002,0.077,<0.010,0.083,48.39,6.95,0.108,0.25,0.96,68.19,0.05,0.05,0.37,0.043,<0.003,0.002,0.75,0.121,0.61,0.14,0.18
1151,2011-01-23T11:35:00,2011-01-24T11:05,42,0.05 - 0.14 µm,0.079,<0.0006,0.001,<0.0006,0.0004,0.0138,0.0044,0.0016,0.002,<0.0002,<0.0002,0.046,0.025,0.071,10.45,0.25,0.011,0.15,0.06,2.33,<0.0144,<0.048,0.46,0.004,<0.003,0.003,0.23,0.013,0.02,0.01,<0.006
1152,2011-01-23T11:35:00,2011-01-24T11:05,42,0.14 - 0.42 µm,0.453,<0.0006,0.0219,<0.0006,0.0004,0.0164,0.006,0.0018,0.0826,0.0005,<0.0002,0.069,<0.010,0.069,3.28,0.12,0.012,0.15,<0.0096,1,<0.0144,<0.048,0.46,0.014,0.008,<0.001,0.02,0.009,<0.0048,<0.0036,<0.006
1153,2011-01-23T11:35:00,2011-01-24T11:05,42,0.42 - 1.2 µm,0.275,0.0226,0.0038,<0.0006,0.0028,0.0098,0.0114,0.0069,0.043,0.0006,<0.0002,0.049,<0.010,0.049,2.92,0.07,0.007,<0.0336,0.01,0.62,<0.0144,<0.048,0.39,0.014,0.007,0.012,0.03,<0.0048,0.01,<0.0036,<0.006
1154,2011-01-23T11:35:00,2011-01-24T11:05,42,1.2 - 3.5 µm,1.382,0.2616,0.0017,0.0017,0.0273,0.054,0.4172,0.0765,0.0697,0.0017,<0.0002,0.179,0.014,0.192,9.38,0.17,<0.0036,<0.0336,0.01,2.41,<0.0144,<0.048,0.7,0.023,0.114,0.025,0.15,0.008,<0.0048,<0.0036,<0.006
1155,2011-01-23T11:35:00,2011-01-24T11:05,42,3.5 - 10 µm,2.106,0.4437,0.0036,0.0093,0.0452,0.0975,0.751,0.0505,0.1011,0.0009,0.0003,0.144,<0.010,0.149,0,<0.013,<0.0036,<0.0336,<0.0096,0,<0.0144,<0.048,0,0,<0.003,0,0,<0.0048,<0.0048,<0.0036,<0.006
1156,2011-01-24T11:35:00,2011-01-25T11:05,42,0.05 - 0.14 µm,0.021,<0.0006,0.0071,<0.0006,0.0003,0.0432,0.0067,0.0015,0.0124,<0.0002,<0.0002,0.104,0.059,0.163,3.83,0.08,0.159,<0.0336,<0.0096,0.83,0.04,<0.048,0.47,0.011,<0.003,0.029,0.05,<0.0048,<0.0048,<0.0036,<0.006
1157,2011-01-24T11:35:00,2011-01-25T11:05,42,0.14 - 0.42 µm,0.675,0.0006,0.0372,<0.0006,0.0008,0.0608,0.0064,0.0026,0.1903,0.0004,<0.0002,0.153,0.038,0.191,2.59,0.06,0.456,0.16,<0.0096,0.44,0.1,<0.048,0.44,0.025,0.008,0.001,0.02,<0.0048,<0.0048,<0.0036,<0.006
1158,2011-01-24T11:35:00,2011-01-25T11:05,42,0.42 - 1.2 µm,0.442,0.0078,0.0007,<0.0006,<0.0006,<0.0025,0.0247,0.0082,0.0647,0.0007,<0.0002,0.054,<0.010,0.054,3.42,0.1,0.185,0.07,<0.0096,0.3,0.09,<0.048,0.41,0.01,0.004,0.002,0.04,<0.0048,<0.0048,<0.0036,0.03
1159,2011-01-24T11:35:00,2011-01-25T11:05,42,1.2 - 3.5 µm,1.902,0.3422,0.0023,0.0053,0.0369,0.0251,0.5354,0.1517,0.0893,0.0026,0.0003,0.041,0.017,0.058,10.28,0.06,0.01,0.21,<0.0096,0.81,<0.0144,0.74,0.74,0.016,0.003,0.022,0.21,<0.0048,<0.0048,<0.0036,0.01
1160,2011-01-24T11:35:00,2011-01-25T11:05,42,3.5 - 10 µm,4.192,0.8542,0.0088,0.0253,0.0789,0.0559,1.4911,0.1124,0.2112,0.0029,0.0019,0.07,0.082,0.152,18.53,0.53,0.012,<0.0336,0.03,3.19,<0.0144,0.05,0.32,0.015,0.003,0.004,0.45,<0.0048,<0.0048,<0.0036,<0.006
1161,2011-01-25T11:35:00,2011-01-26T11:06,42,0.05 - 0.14 µm,0.068,<0.0006,0.0029,<0.0006,<0.0006,0.0047,0.0044,0.001,0.0047,<0.0002,<0.0002,0.039,<0.010,0.041,11.69,0.36,0.023,<0.0336,0.04,1.99,<0.0144,<0.048,0.51,0.006,0.004,0.005,0.26,<0.0048,0.02,<0.0036,0.02
1162,2011-01-25T11:35:00,2011-01-26T11:06,42,0.14 - 0.42 µm,0.367,<0.0006,0.0152,<0.0006,0.0006,0.0128,0.0048,0.0013,0.0726,0.0008,<0.0002,0.028,<0.010,0.028,2.87,0.11,0.055,0.12,<0.0096,0.34,<0.0144,<0.048,0.47,0.014,<0.003,<0.001,0.02,<0.0048,0.08,<0.0036,0.02
1163,2011-01-25T11:35:00,2011-01-26T11:06,42,0.42 - 1.2 µm,0.425,0.0481,0.0008,<0.0006,0.0052,0.01,0.0673,0.0164,0.0334,0.0005,<0.0002,0.047,<0.010,0.047,3.62,0.08,0.024,0.09,<0.0096,0.26,<0.0144,<0.048,0.42,0.019,<0.003,0.007,0.05,<0.0048,0.1,<0.0036,<0.006
1164,2011-01-25T11:35:00,2011-01-26T11:06,42,1.2 - 3.5 µm,2.246,0.4548,0.0029,0.0108,0.0467,0.0519,0.7562,0.1276,0.1163,0.0024,<0.0002,0.08,<0.010,0.08,9.84,0.03,0.01,0.13,<0.0096,0.28,<0.0144,<0.048,0.73,0.009,0.005,0.017,0.2,<0.0048,0.1,<0.0036,<0.006
1165,2011-01-25T11:35:00,2011-01-26T11:06,42,3.5 - 10 µm,2.588,0.5744,0.0023,0.0158,0.0559,0.1,0.9492,0.0543,0.1273,0.0008,0.0002,0.038,<0.010,0.038,11.14,0.02,<0.0036,<0.0336,<0.0096,0.51,<0.0144,<0.048,0.32,0.011,<0.003,0.003,0.28,<0.0048,<0.0048,<0.0036,<0.006
1166,2011-01-26T11:37:00,2011-01-27T11:06,42,0.05 - 0.14 µm,0.009,0.0015,0.0007,0.0035,<0.0006,<0.0025,0.0054,0.0022,0,0.002,0.0453,0.108,<0.010,0.108,8.9,0.03,0.004,<0.0336,<0.0096,0.29,<0.0144,<0.048,0.47,0.011,0.003,0.003,0.17,<0.0048,0.02,<0.0036,0.01
1167,2011-01-26T11:37:00,2011-01-27T11:06,42,0.14 - 0.42 µm,0.334,<0.0006,0.0017,0.1074,<0.0006,<0.0025,0.0057,0.0143,0,0.0019,0.0578,0.134,<0.010,0.14,2.3,0.02,0.016,<0.0336,<0.0096,0.22,<0.0144,<0.048,0.43,0.013,0.005,0.001,0.02,<0.0048,0.01,<0.0036,<0.006
1168,2011-01-26T11:37:00,2011-01-27T11:06,42,0.42 - 1.2 µm,0.455,0.1006,0.0226,0.0448,0.0004,<0.0025,0.0911,0.0026,0.0017,0.01,0.0489,0.055,0.022,0.076,3.28,0.03,0.008,0.02,0.01,0.2,<0.0144,<0.048,0.38,0.012,0.003,0.019,0.05,<0.0048,0.03,<0.0036,<0.006
1169,2011-01-26T11:37:00,2011-01-27T11:06,42,1.2 - 3.5 µm,3.172,1.0449,0.1573,0.1574,0.0021,<0.0025,0.6782,0.0043,0.0225,0.0667,0.114,0.207,0.033,0.24,13.36,0.03,0.007,0.15,0.01,0.26,<0.0144,<0.048,0.71,0.026,<0.003,0.042,0.33,<0.0048,0.02,<0.0036,<0.006
1170,2011-01-26T11:37:00,2011-01-27T11:06,42,3.5 - 10 µm,3.743,1.4521,0.0741,0.1778,<0.0006,<0.0025,0.8509,0.0036,0.0319,0.0794,0.0476,0.078,0.016,0.093,14.85,0.34,0.008,<0.0336,0.03,2.86,<0.0144,<0.048,0.32,0.006,<0.003,0.005,0.4,0.007,<0.0048,0.01,<0.006
1171,2011-01-27T11:53:00,2011-01-28T11:06,42,0.05 - 0.14 µm,0.139,<0.0006,0.0027,<0.0006,<0.0006,<0.0025,0.0094,0.0039,0.0028,0.0005,<0.0002,0.069,0,0.069,2.51,<0.013,0.063,0.3,<0.0096,0.14,0.02,<0.048,0.42,0.011,<0.003,0.001,0.02,<0.0048,0.03,0.01,<0.006
1172,2011-01-27T11:53:00,2011-01-28T11:06,42,0.14 - 0.42 µm,0.542,0.0105,0.0215,<0.0006,0.0013,0.0073,0.0075,0.0037,0.1292,0.0035,<0.0002,0.114,<0.010,0.114,2.49,0.02,0.27,0.12,<0.0096,0.24,0.08,<0.048,0.45,0.016,0.011,0.001,0.02,<0.0048,<0.0048,<0.0036,<0.006
1173,2011-01-27T11:53:00,2011-01-28T11:06,42,0.42 - 1.2 µm,0.864,0.1795,0.001,<0.0006,0.0135,0.011,0.2887,0.028,0.0854,0.0023,0.0003,0.081,<0.010,0.081,5.1,0.02,0.032,0.08,<0.0096,0.15,<0.0144,<0.048,0.44,0.018,0.01,0.017,0.1,<0.0048,0.02,0.01,0.01
1174,2011-01-27T11:53:00,2011-01-28T11:06,42,1.2 - 3.5 µm,5.313,1.2261,0.0057,0.0379,0.1195,0.0688,2.0313,0.2102,0.3217,0.0076,0.0019,0.084,<0.010,0.084,20.07,<0.013,<0.0036,0.09,<0.0096,0.42,<0.0144,0.07,0.8,0.004,0.169,0.051,0.52,0.01,<0.0048,<0.0036,<0.006
1175,2011-01-27T11:53:00,2011-01-28T11:06,42,3.5 - 10 µm,10.725,2.5772,0.0096,0.0906,0.2313,0.1233,4.5861,0.1445,0.6773,0.0021,0.0081,0.041,0.041,0.082,54.93,0.38,0.009,<0.0336,<0.0096,2.64,<0.0144,<0.048,0.26,0.004,0.083,<0.001,1.34,0.247,<0.0048,<0.0036,<0.006
1176,2011-01-28T11:37:00,2011-01-28T21:30,42,0.05 - 0.14 µm,0.271,0.0027,0.0029,<0.0006,<0.0006,0.0072,0.0439,0.01,0.0131,<0.0002,<0.0002,0.216,0.09,0.307,5.81,0.1,0.024,0.19,<0.0096,0.88,<0.0144,<0.048,0.95,0.02,0.004,0.002,0.04,<0.0048,0.01,<0.0036,<0.006
1177,2011-01-28T11:37:00,2011-01-28T21:30,42,0.14 - 0.42 µm,0.715,<0.0006,0.0804,<0.0006,<0.0006,0.0135,0.0192,0.0096,0.2051,<0.0002,<0.0002,,0.247,0.247,6.23,0.05,0.228,0.3,<0.0096,0.4,0.08,0.06,1.18,0.026,0.011,0.001,0.04,<0.0048,<0.0048,<0.0036,<0.006
1178,2011-01-28T11:37:00,2011-01-28T21:30,42,0.42 - 1.2 µm,0.69,0.0847,0.0009,<0.0006,0.0035,0.0135,0.1136,0.0382,0.0735,0.0013,<0.0002,0.152,<0.010,0.152,7.3,0.12,0.027,0.06,<0.0096,0.85,<0.0144,0.05,1.04,0.039,0.015,0.018,0.09,<0.0048,<0.0048,<0.0036,<0.006
1179,2011-01-28T11:37:00,2011-01-28T21:30,42,1.2 - 3.5 µm,3.598,0.689,0.003,0.006,0.0641,0.0539,1.0528,0.2517,0.1616,0.0043,<0.0002,0.223,<0.010,0.223,29.17,0.03,<0.0036,<0.0336,<0.0096,1.26,0.02,0.13,2.65,0.03,0.006,0.069,0.48,<0.0048,<0.0048,<0.0036,<0.006
1180,2011-01-28T11:37:00,2011-01-28T21:30,42,3.5 - 10 µm,5.521,1.0615,0.0023,0.0266,0.101,0.1637,1.8135,0.1692,0.2307,0.0024,0.0011,0.264,0.021,0.286,16.27,1.6,<0.0036,0.09,0.04,9.35,<0.0144,<0.048,0.75,0.01,<0.003,<0.001,0.38,0.018,<0.0048,<0.0036,<0.006
1181,2011-01-29T14:26:00,2011-01-30T11:50,42,0.05 - 0.14 µm,0.047,<0.0006,0.002,<0.0006,<0.0006,0.0262,0.0092,0.0036,0.0097,0.0005,<0.0002,0.142,<0.010,0.142,2.96,0.03,0.015,0.12,<0.0096,0.15,<0.0144,<0.048,0.48,0.01,0.005,,0.02,<0.0048,<0.0048,0.01,<0.006
1182,2011-01-29T14:26:00,2011-01-30T11:50,42,0.14 - 0.42 µm,0.442,0.0017,0.0282,<0.0006,<0.0006,0.035,0.0097,0.0038,0.1249,0.0013,0.0003,0.092,<0.010,0.101,0.48,<0.013,<0.0036,<0.0336,<0.0096,0.02,<0.0144,<0.048,0.1,0.002,<0.003,0,0,<0.0048,<0.0048,,<0.006
1183,2011-01-29T14:26:00,2011-01-30T11:50,42,0.42 - 1.2 µm,0.526,0.0781,0.0004,<0.0006,0.0047,0.0105,0.1091,0.0227,0.0545,0.0008,<0.0002,0.02,<0.010,0.02,0.67,<0.013,<0.0036,<0.0336,<0.0096,0.02,<0.0144,<0.048,0.09,0.002,<0.003,0.002,0.01,<0.0048,<0.0048,,<0.006
1184,2011-01-29T14:26:00,2011-01-30T11:50,42,1.2 - 3.5 µm,3.525,0.6846,0.0029,0.0167,0.0671,0.0498,1.1458,0.1657,0.168,0.0015,0.0005,0.037,<0.010,0.037,22.58,<0.013,<0.0036,0.04,<0.0096,0.86,<0.0144,<0.048,0.88,0.018,0.004,0.042,0.5,0.006,<0.0048,,<0.006
