No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
1276,2012-01-15T19:37:00,2012-01-15T12:08,42,0.05 - 0.14 µm,0.224,0.0043,0.0108,0.0047,0.0037,0.2361,0.0253,0.0117,0.0736,0.004,0.0007,0.251,0.104,0.355,5.55,0.104,<0.0036,<0.0336,<0.0096,3.99,0.056,0.048,0.33,0.104,0.307,<0.001,0.085,0.017,<0.0048,<0.0036,<0.006
1277,2012-01-15T19:37:00,2012-01-15T12:08,42,0.14 - 0.42 µm,2.252,0.0027,0.1376,0.0868,0.003,0.2268,0.0178,0.0146,0.5493,0.0212,0.0035,0.413,0.282,0.695,5.46,0.117,0.067,<0.0336,<0.0096,5.95,0.122,0.184,0.533,0.192,0.234,0.009,0.071,0.108,<0.0048,<0.0036,<0.006
1278,2012-01-15T19:37:00,2012-01-15T12:08,42,0.42 - 1.2 µm,4.827,0.2208,0.0259,0.0579,0.0366,0.3644,0.1777,0.2622,0.5177,0.0261,0.0012,0.398,0.631,1.029,43.99,3.22,0.291,0.316,0.837,43.7,0.13,0.076,0.515,0.088,0.332,0.069,0.736,0.124,0.582,0.006,0.06
1279,2012-01-15T19:37:00,2012-01-15T12:08,42,1.2 - 3.5 µm,21.197,1.8312,0.02,0.0742,0.1967,0.7332,2.6828,1.9282,0.8449,0.0332,0.0011,0.55,0,0.55,232.02,4.953,<0.0036,<0.0336,1.598,137,0.52,0.337,0.536,0.126,<0.003,0.105,3.31,0.118,<0.0048,<0.0036,0
1280,2012-01-15T19:37:00,2012-01-15T12:08,42,3.5 - 10 µm,14.699,2.1527,0.0072,0.084,0.2103,0.5022,3.7993,0.8221,0.6716,0.0133,0.0116,0.379,0.011,0.39,421.04,14.289,1.047,0.552,5.428,217.34,0.283,0.326,0.606,0.216,1.212,0.2,5.816,0.3,5.177,0.498,0.814
1281,2012-01-16T11:58:00,2012-01-15T19:55,42,0.05 - 0.14 µm,0.258,0.0098,0.0122,0.0031,0.002,0.108,0.0293,0.0099,0.0507,0.002,<0.0002,0.152,0.011,0.163,87.39,5.066,0.145,0.182,1.035,49.84,0.064,0.066,0.151,0.068,0.025,0.008,1.227,0.088,0.624,<0.0036,0.216
1282,2012-01-16T11:58:00,2012-01-15T19:55,42,0.14 - 0.42 µm,1.846,0.0087,0.1213,0.0625,0.0017,0.0901,0.0153,0.0054,0.4653,0.0152,0.0012,0.328,0.538,0.866,2.24,0.244,0.225,<0.0336,<0.0096,3.33,0.219,<0.048,0.428,0.088,0.039,0.009,0.053,0.115,<0.0048,<0.0036,<0.006
1283,2012-01-16T11:58:00,2012-01-15T19:55,42,0.42 - 1.2 µm,5.181,0.3308,0.0258,0.065,0.0506,0.2071,0.3686,0.2384,0.5904,0.024,0.0011,0.231,0.187,0.417,39.13,3.574,0.181,0.243,0.956,45.4,0.086,0.074,0.615,0.093,0.061,0.07,0.792,0.114,1.067,<0.0036,0.213
1284,2012-01-16T11:58:00,2012-01-15T19:55,42,1.2 - 3.5 µm,25.414,1.2876,0.025,0.0953,0.2181,0.392,2.2119,0.9516,0.6496,0.0411,0.0031,0.374,0.013,0.387,275.63,11.942,0.499,0.416,3.65,167.48,0.223,0.285,0.644,0.408,<0.003,0.138,4.01,0.238,2.057,<0.0036,0.205
1285,2012-01-16T11:58:00,2012-01-15T19:55,42,3.5 - 10 µm,15.981,1.9231,0.008,0.0817,0.1818,0.4446,3.4524,0.748,0.6748,0.0134,0.0097,0.338,0,0.338,141.12,8.631,0.183,0.336,1.757,88.12,0.116,0.13,0.275,0.075,<0.003,0.009,2.117,0.152,0.771,<0.0036,0.316
